timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680412759018,1183,/destination,200,OK,traffic distribution gojek 1-66,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,922,0,571
1680412759663,673,/payment-methods,200,OK,traffic distribution gojek 1-62,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,367,0,0
1680412759757,599,/pickup-location,200,OK,traffic distribution gojek 1-64,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,321,0,0
1680412760202,742,/pickup-location,200,OK,traffic distribution gojek 1-66,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,488,0,0
1680412760356,745,/choose-vehicle,200,OK,traffic distribution gojek 1-64,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,475,0,0
1680412760028,1314,/top-up,200,OK,traffic distribution gojek 1-67,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,1010,0,647
1680412760945,755,/choose-vehicle,200,OK,traffic distribution gojek 1-66,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,386,0,0
1680412761102,768,/voucher,200,OK,traffic distribution gojek 1-64,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,402,0,0
1680412761342,894,/pay,200,OK,traffic distribution gojek 1-67,text,true,,19169,179,5,5,https://api-staging-builder.engineer.ai/configurations,439,0,0
1680412761702,861,/voucher,200,OK,traffic distribution gojek 1-66,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,489,0,0
1680412761019,1605,/destination,200,OK,traffic distribution gojek 1-68,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,1218,0,707
1680412761871,780,/payment-methods,200,OK,traffic distribution gojek 1-64,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,446,0,0
1680412762564,727,/payment-methods,200,OK,traffic distribution gojek 1-66,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,444,0,0
1680412762625,778,/pickup-location,200,OK,traffic distribution gojek 1-68,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,414,0,0
1680412762020,1456,/top-up,200,OK,traffic distribution gojek 1-69,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,1187,0,814
1680412763291,769,/history,200,OK,traffic distribution gojek 1-66,text,true,,19175,179,4,4,https://api-staging-builder.engineer.ai/configurations,407,0,0
1680412763403,714,/choose-vehicle,200,OK,traffic distribution gojek 1-68,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,409,0,0
1680412763476,808,/pay,200,OK,traffic distribution gojek 1-69,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,423,0,0
1680412763016,1320,/destination,200,OK,traffic distribution gojek 1-70,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,1018,0,570
1680412764060,694,/ongoing,200,OK,traffic distribution gojek 1-66,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,354,0,0
1680412764118,683,/voucher,200,OK,traffic distribution gojek 1-68,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,352,0,0
1680412764337,764,/pickup-location,200,OK,traffic distribution gojek 1-70,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,415,0,0
1680412764755,684,/scheduled,200,OK,traffic distribution gojek 1-66,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,368,0,0
